country,store_count,unique_cities,avg_nn_km,median_nn_km,store_per_city,store_count_z,median_nn_norm,opportunity_score,opportunity_rank
SE,18,12,15.57730977402704,1.1119492664455182,1.5,-0.20743809031528712,0.00907810316376969,0.12809409545468015,32
AT,18,4,2.447703366162085,1.038671928817779,4.5,-0.20743809031528712,0.008479857137062508,0.12785479704399727,33
DK,21,13,9.710865864978203,1.2765487140714544,1.6153846153846154,-0.2055399186786746,0.010421915162516998,0.12749271727221156,34
RO,27,9,13.339709621805346,1.9381265674158468,3.0,-0.20174357540544952,0.0158231256176704,0.12737539549033786,35
BH,21,8,1.252358639975689,0.9976200867112645,2.625,-0.2055399186786746,0.008144704384188252,0.12658183296088005,36
AU,22,13,2.7254542997886846,1.1119492664455182,1.6923076923076923,-0.20490719479980374,0.00907810316376969,0.12657555814539012,37
HU,16,1,0.7149347060762967,0.3756110176288589,16.0,-0.20870353807302883,0.0030665387984680752,0.12644873836320453,38
GR,28,11,13.674141933257104,1.7522169637748413,2.5454545454545454,-0.20111085152657868,0.014305334642922477,0.12638864477311618,39
VN,25,3,1.3996686700394272,1.1119492664455182,8.333333333333334,-0.20300902316319122,0.00907810316376969,0.12543665516342262,40
LB,29,16,5.449732349418783,0.922931551188157,1.8125,-0.20047812764770784,0.007534937148316912,0.12330085144795146,41
EG,31,1,4.065778883735397,1.1119492664458719,31.0,-0.19921267988996613,0.009078103163772578,0.1231588491994887,42
CZ,28,5,1.7450845567607467,0.7134083209777945,5.6,-0.20111085152657868,0.005824361354570362,0.12299625545777534,43
PL,53,15,3.7358360940180866,1.1119492664455182,3.533333333333333,-0.1852927545548075,0.00907810316376969,0.11480689399839238,44
NL,59,29,6.055955939353901,1.303024943045055,2.0344827586206895,-0.18149641128158245,0.010638070652036997,0.11315307502976427,45
CH,61,19,2.306969866569788,0.0,3.210526315789474,-0.18023096352384074,0.0,0.10813857811430444,46
IE,73,20,5.961196957268072,0.6640619461490347,3.65,-0.1726382769773906,0.005421490922463757,0.10575156255541986,47
IN,88,10,2.140986388210972,1.5296429862085779,8.8,-0.1631474187943279,0.012488210794838982,0.10288373559453233,48
PE,89,15,7.118794767541011,1.0871639244724198,5.933333333333334,-0.16251469491545706,0.008875752302834865,0.10105911787040817,49
CL,96,8,2.069047679568133,0.927880897409466,12.0,-0.15808562776336113,0.007575344275643758,0.09788151436827418,50
SA,102,24,5.783799798344118,1.5186393790196424,4.25,-0.15428928449013604,0.012398375867788695,0.0975329210411971,51
BR,102,18,4.996558983660333,1.0304690027775696,5.666666666666667,-0.15428928449013604,0.008412887347086534,0.09593872563291624,52
ES,101,25,13.455672454052666,0.8464145006186428,4.04,-0.1549220083690069,0.006910241670007995,0.09571730168940734,53
KW,106,24,1.288250482160237,0.9693166499455659,4.416666666666667,-0.15175838897465266,0.007913631324830438,0.09422048591472378,54
RU,109,19,12.631506154649076,0.6261313232788092,5.7368421052631575,-0.14986021733804014,0.005111820222664053,0.0919608584918897,55
AR,108,18,2.485107050314059,0.0,6.0,-0.15049294121691098,0.0,0.09029576473014658,56
FR,132,48,7.953226822948618,0.7316988702510105,2.75,-0.13530756812401068,0.005973687855549176,0.08357401601662608,57
SG,130,3,0.5880816005343015,0.0,43.333333333333336,-0.13657301588175236,0.0,0.0819438095290514,58
AE,144,9,2.8120133228595865,1.0120318678625206,16.0,-0.1277148815775605,0.008262364101239008,0.0799338745870319,59
DE,160,73,6.872878223895533,0.7131105507996718,2.191780821917808,-0.11759129951562698,0.005821930318840887,0.07288355183691253,60
MY,234,65,4.321310727926813,1.1119492664455182,3.6,-0.07076973247918436,0.00907810316376969,0.04609308075301849,61
ID,268,46,8.562162847425046,1.1055705867068961,5.826086956521739,-0.04925712059757559,0.00902602676562523,0.03316468306479545,62
TH,289,108,5.262180742505674,1.074160907389888,2.675925925925926,-0.03596991914128782,0.00876959392486064,0.025089789054716947,63
PH,298,78,2.9322003561950125,0.0,3.8205128205128207,-0.0302754042314502,0.0,0.01816524253887012,64
TR,326,42,3.758766877749278,1.1119492664455182,7.761904761904762,-0.012559135623066507,0.00907810316376969,0.01116672263934778,65
TW,394,48,1.4799913600633303,1.007275616643331,8.208333333333334,0.030466088140151035,0.0082235334274452,-0.014990239513112541,66
MX,579,109,4.2414702797437975,1.0488157424540885,5.3119266055045875,0.1475200057312576,0.008562672594065178,-0.08508693440112848,67
GB,900,348,3.5052859794211573,0.6961464881602836,2.586206896551724,0.3506243708487992,0.00568343343290894,-0.20810124913611594,68
KR,992,162,1.513693626811833,0.8816958758105513,6.1234567901234565,0.4088349677049171,0.007198283555925731,-0.24242166720057995,69
JP,1237,366,2.624666367670929,1.1119492664455182,3.379781420765027,0.5638523180282744,0.00907810316376969,-0.33468014955145675,70
CA,1415,219,3.5633286166451397,0.7790986507666902,6.461187214611872,0.676477168467285,0.006360666030225155,-0.40334203466828095,71
CN,2734,197,2.328731249341627,0.949913163193209,13.878172588832488,1.5110399646979311,0.007755218652786676,-0.903521891357644,72
US,13311,3172,2.860044248336059,1.1119492664455182,4.19640605296343,8.203360431514872,0.00907810316376969,-4.918385017643415,73
